symbol,name,sector,price,eps,owner_earnings_ps,roe,roic,gross_margin,net_margin,debt_to_equity,net_debt_to_ebitda,interest_coverage,current_ratio,pe,pb,book_value_ps,fcf_yield,graham_number,dividend_yield,payout_ratio,income_quality,eps_growth_5y
AAPL,Apple,Information Technology,291.13,8.25,,1.4147,1.0433,0.4786,0.2715,0.8,-0.387,,1.07,35.29,40.1,7.26,0.0302,36.71,0.0036,0.1273,1.144,0.1
MSFT,Microsoft,Information Technology,390.74,16.79,,0.3401,0.2724,0.6831,0.3934,0.3,0.256,52.1,1.28,23.27,7.01,55.78,0.0251,145.16,0.0093,0.2168,1.359,0.1
GOOGL,Alphabet,Communication Services,359.68,13.11,,0.3888,0.2834,0.6037,0.3792,0.2,-0.192,111.85,1.92,27.44,9.1,39.51,0.0147,107.96,0.0024,0.0671,1.088,0.1
META,Meta Platforms,Communication Services,566.98,27.49,,0.3293,0.298,0.8194,0.3284,0.36,0.051,59.58,2.35,20.63,5.91,96.01,0.0335,243.69,0.0037,0.0764,1.757,0.1
NVDA,NVIDIA,Information Technology,205.19,6.53,,1.1429,1.0467,0.7415,0.6297,0.07,-0.244,544.58,3.44,31.42,25.42,8.07,0.024,34.43,0.0049,0.1531,0.787,0.1
V,Visa,Financials,322.39,11.47,,0.6035,0.5432,0.9778,0.5168,0.67,0.334,46.46,1.09,28.11,17.29,18.64,0.0349,69.36,0.0083,0.2267,1.033,0.1
KO,Coca-Cola,Consumer Staples,82.62,3.18,,0.4337,0.1961,0.6174,0.278,1.25,1.844,9.54,1.36,25.98,10.57,7.82,0.0353,23.65,0.0257,0.6541,1.068,0.0744
PEP,PepsiCo,Consumer Staples,144.27,6.37,,0.4388,0.1959,0.5438,0.0915,2.45,2.241,12.99,0.9,22.65,9.23,15.63,0.0448,47.33,0.0394,0.9022,1.501,0.0609
COST,Costco Wholesale,Consumer Staples,982.35,19.88,,0.2915,0.3844,0.1288,0.0301,0.25,-0.853,76.88,1.07,49.41,13.0,75.55,0.0202,183.83,0.006,0.2701,1.697,0.1
WMT,Walmart,Consumer Staples,121.04,2.84,,0.2413,0.1383,0.2498,0.0313,0.75,1.446,10.55,0.77,42.61,10.22,11.85,0.013,27.52,0.0082,0.3441,1.798,0.1
JNJ,Johnson & Johnson,Health Care,240.87,8.64,,0.2642,0.1995,0.6804,0.2183,0.68,0.96,25.59,1.03,27.89,7.14,33.73,0.0307,80.98,0.0223,0.6068,1.087,0.0841
UNH,UnitedHealth Group,Health Care,408.52,13.25,,0.1218,0.0901,0.188,0.0268,0.74,2.326,4.76,0.8,30.83,3.79,107.8,0.053,179.27,0.0216,0.6755,1.923,0.1
ABBV,AbbVie,Health Care,227.73,2.03,,,0.2283,0.7203,0.0579,,2.123,7.52,0.8,112.18,,-3.77,0.0497,,0.0304,3.3201,5.894,0.1
LMT,Lockheed Martin,Industrials,540.33,20.62,,0.6764,0.2196,0.0991,0.0638,2.76,2.35,5.99,1.14,26.2,16.59,32.56,0.0454,122.91,0.0255,0.662,1.539,0.1
JPM,JPMorgan Chase,Financials,320.72,20.88,,0.1646,,,0.3394,,-1.0,,,15.36,2.5,128.38,,245.59,0.0187,0.2874,,0.0955
XOM,Exxon Mobil,Energy,147.01,5.94,,0.0987,0.073,0.2977,0.0776,0.18,0.7,44.65,1.04,24.75,2.4,61.37,0.0308,90.57,0.028,0.687,1.885,0.1
CVX,Chevron,Energy,187.22,5.75,,0.0664,0.0437,0.4242,0.0593,0.24,1.058,11.85,1.09,32.57,2.02,92.91,0.0372,109.64,0.038,1.2142,2.839,0.1
PG,Procter & Gamble,Consumer Staples,149.61,6.84,,0.3111,0.2206,0.5098,0.1916,0.68,0.987,25.76,0.73,21.88,6.48,23.08,0.0431,59.6,0.0283,0.6371,1.189,0.0315
MO,Altria Group,Consumer Staples,71.94,4.79,,,0.6636,0.8738,0.3952,,1.334,13.23,0.62,15.03,,-1.92,0.0718,,0.0589,0.8861,1.107,0.0401
MRK,Merck & Co,Health Care,119.05,3.58,,0.1894,0.2118,0.7673,0.1359,1.07,1.471,16.11,1.3,33.29,6.41,18.58,0.048,38.69,0.0286,0.9285,2.001,0.0672
MA,Mastercard,Financials,489.98,17.29,,2.3208,0.9521,1.0,0.4588,2.82,0.495,27.88,0.98,28.35,64.68,7.58,0.0411,54.3,0.0071,0.1886,1.173,0.1
HON,Honeywell International,Industrials,220.31,6.42,,0.2426,0.1545,0.3693,0.1089,2.57,2.973,5.02,1.39,35.44,10.27,21.45,0.0297,55.66,0.0216,0.7317,1.259,0.0853
HD,Home Depot,Consumer Discretionary,328.39,14.08,,1.2838,0.2056,0.3313,0.0841,4.59,2.49,8.61,1.04,23.32,23.6,13.92,0.0437,66.41,0.0284,0.6577,1.287,0.0626
CAT,Caterpillar,Industrials,910.57,20.08,,0.5133,0.1649,0.286,0.1333,2.31,2.73,23.66,1.35,45.34,22.48,40.51,0.0188,135.29,0.0066,0.3067,1.306,0.1
TXN,Texas Instruments,Information Technology,301.12,5.85,,0.3235,0.2231,0.5732,0.2911,0.84,1.032,11.92,4.46,51.47,16.33,18.44,0.0136,49.27,0.0189,0.9605,1.464,0.1
MCD,McDonald's,Consumer Discretionary,284.81,12.13,,,0.1884,0.5735,0.3162,,3.613,7.86,1.14,23.48,,-1.81,0.0348,,0.0261,0.6058,1.214,0.079
AXP,American Express,Financials,325.44,16.02,,0.3442,0.1154,0.6276,0.1631,1.78,,,1.57,20.32,6.53,49.85,0.0645,134.05,0.0117,0.221,1.575,0.1
BAC,Bank of America,Financials,56.02,4.02,,0.1064,,,0.2896,,-1.0,,,13.92,1.45,38.66,0.1423,59.13,0.02,0.2783,1.869,0.1
ORCL,Oracle,Information Technology,184.13,5.83,,0.5338,0.1191,0.6582,0.2537,3.63,3.916,4.88,1.12,31.58,12.31,14.96,-0.0447,44.3,0.0109,0.3431,1.883,0.1
ADBE,Adobe,Information Technology,204.02,17.48,,0.6295,0.597,0.894,0.2869,0.61,0.15,34.83,0.75,11.67,7.12,28.65,0.1247,106.15,,,1.45,0.1
AVGO,Broadcom,Information Technology,382.07,6.01,,0.3728,0.2422,0.7628,0.3885,0.74,1.076,10.6,2.24,63.59,20.73,18.43,0.018,49.92,0.0068,0.4227,1.147,0.1
ABT,Abbott Laboratories,Health Care,88.18,3.57,,0.1233,0.0963,0.565,0.1391,0.65,2.286,16.01,1.39,24.7,2.95,29.89,0.048,49.0,0.0286,0.6835,1.514,0.0933
AMGN,Amgen,Health Care,355.2,14.37,,1.0132,0.1905,0.7144,0.2096,6.24,2.677,3.92,1.26,24.72,20.86,17.03,0.0448,74.2,0.0284,0.6821,1.379,0.0376
CL,Colgate-Palmolive,Consumer Staples,89.45,2.58,,3.6358,0.4348,0.6006,0.1004,16.41,1.331,16.29,1.02,34.7,147.28,0.18,0.0526,3.23,0.0237,0.8146,2.081,0.0556
NKE,Nike,Consumer Discretionary,44.93,1.52,,0.1602,0.1416,0.4092,0.0484,0.79,0.808,13.18,2.14,29.62,4.72,9.52,0.0158,18.04,0.0365,1.0746,0.751,0.0361
LOW,Lowe's,Consumer Discretionary,220.78,11.83,,,0.2353,0.3329,0.0751,,3.315,6.53,1.09,18.66,,-16.52,0.0615,,0.0217,0.41,1.486,0.0651
UNP,Union Pacific,Industrials,272.7,12.15,,0.4069,0.1577,0.5653,0.292,1.62,2.42,7.73,0.92,22.44,8.34,32.71,0.0352,94.56,0.0202,0.4542,1.32,0.0842
COP,ConocoPhillips,Energy,116.98,5.88,,0.1128,0.0899,0.4559,0.1233,0.36,0.726,13.67,1.29,19.89,2.21,52.98,0.0411,83.72,0.0287,0.5612,2.463,0.1
DIS,Disney,Communication Services,100.04,6.26,,0.1101,0.0915,0.3716,0.1154,0.41,2.114,8.06,0.68,15.99,1.61,62.3,0.0409,93.67,0.015,0.2397,1.407,0.1
PFE,Pfizer,Health Care,26.21,1.31,,0.0831,0.1272,0.748,0.1183,0.72,2.029,7.04,1.25,20.0,1.66,15.81,0.0635,21.59,0.0656,1.3103,1.599,0.0
