rank,symbol,news_dir,value_dir,tech_dir,sentiment_dir,hype_risk,overall,lean,dominant
1,S,59.9,,100.0,,False,83.3,Bullish lean,technical
2,FCNCN,51.9,99.8,90.0,,False,80.5,Bullish lean,technical
3,BAX,51.9,,100.0,,False,80.0,Bullish lean,technical
4,BBIO,51.9,,100.0,,False,80.0,Bullish lean,technical
5,MAC,51.9,,100.0,,False,80.0,Bullish lean,technical
6,RVMD,51.9,,100.0,,False,80.0,Bullish lean,technical
7,RYTM,51.9,,100.0,,False,80.0,Bullish lean,technical
8,BAC,51.9,76.8,100.0,,False,79.2,Bullish lean,technical
9,TRV,51.9,76.4,100.0,,False,79.1,Bullish lean,technical
10,LLYVK,59.9,,92.0,,False,78.6,Bullish lean,technical
11,MATX,51.9,71.6,100.0,,False,77.9,Bullish lean,technical
12,CCZ,59.9,77.2,91.0,,False,77.8,Bullish lean,technical
13,EWBC,51.9,69.8,100.0,,False,77.4,Bullish lean,technical
14,RBRK,59.9,,100.0,59.3,False,77.3,Bullish lean,technical
15,MSGS,59.9,,100.0,58.8,False,77.2,Bullish lean,technical
16,NAVN,59.9,,100.0,58.9,False,77.2,Bullish lean,technical
17,SNOW,59.9,,100.0,58.0,False,77.0,Bullish lean,technical
18,LNC,51.9,91.7,100.0,52.3,False,76.8,Bullish lean,technical
19,SIRI,59.9,78.0,100.0,56.0,False,76.8,Bullish lean,technical
20,FROG,59.9,,100.0,56.5,False,76.6,Bullish lean,technical
21,RAL,59.9,,100.0,56.0,False,76.5,Bullish lean,technical
22,EIX,51.9,85.4,100.0,56.7,False,76.4,Bullish lean,technical
23,JPM,51.9,73.7,100.0,68.6,False,76.4,Bullish lean,technical
24,MAS,51.9,65.9,100.0,,False,76.4,Bullish lean,technical
25,MTCH,59.9,74.1,100.0,58.1,False,76.4,Bullish lean,technical
26,CRWD,59.9,,100.0,55.5,False,76.3,Bullish lean,technical
27,NET,59.9,,100.0,55.5,False,76.3,Bullish lean,technical
28,ALL,51.9,90.4,100.0,50.5,False,76.2,Bullish lean,technical
29,OSK,51.9,72.0,96.0,,False,76.2,Bullish lean,technical
30,PCVX,51.9,,100.0,65.0,False,76.2,Bullish lean,technical
31,CINF,51.9,81.7,100.0,58.6,False,76.0,Bullish lean,technical
32,SSB,51.9,80.5,100.0,59.3,False,75.9,Bullish lean,technical
33,BLTE,51.9,,100.0,63.2,False,75.8,Bullish lean,technical
34,CPAY,59.9,52.9,100.0,,False,75.7,Bullish lean,technical
35,DBX,59.9,72.8,100.0,55.6,False,75.7,Bullish lean,technical
36,PCG,51.9,76.7,100.0,62.0,False,75.7,Bullish lean,technical
37,CHYM,51.9,,100.0,62.6,False,75.6,Bullish lean,technical
38,GEN,59.9,70.5,100.0,57.8,False,75.6,Bullish lean,technical
39,LAD,51.9,80.3,100.0,58.0,False,75.6,Bullish lean,technical
40,BYD,51.9,93.4,92.0,58.0,False,75.5,Bullish lean,technical
41,MDGL,51.9,,100.0,61.4,False,75.3,Bullish lean,technical
