symbol,name,sector,market_cap
NVDA,NVIDIA Corporation,Information Technology,4819979000000
AAPL,Apple Inc.,Information Technology,4322488870800
GOOGL,Alphabet Inc.,Communication Services,4157127868407.03
GOOG,Alphabet Inc.,Communication Services,4157127868138.56
MSFT,Microsoft Corporation,Information Technology,2777787114200
AMZN,"Amazon.com, Inc.",Consumer Discretionary,2441969271000
SPCX,Space Exploration Technologies Corp,Information Technology,2020744245407
AVGO,Broadcom Inc.,Information Technology,1802694637800
TSLA,"Tesla, Inc.",Consumer Discretionary,1433220309200
META,"Meta Platforms, Inc.",Communication Services,1427101580946.6
MU,"Micron Technology, Inc.",Information Technology,1368568018800
BRK-B,Berkshire Hathaway Inc.,Financials,1055859670644.9569
BRK-A,Berkshire Hathaway Inc.,Financials,1054568750886
LLY,Eli Lilly and Company,Health Care,1042582626279.9999
WMT,Walmart Inc.,Consumer Staples,921386502400
JPM,JPMorgan Chase & Co.,Financials,893483082332.1
AMD,"Advanced Micro Devices, Inc.",Information Technology,847488044000
INTC,Intel Corporation,Information Technology,661672900000
V,Visa Inc.,Financials,648941564516.55
JNJ,Johnson & Johnson,Health Care,580139290011
XOM,Exxon Mobil Corporation,Energy,565619877000
CSCO,"Cisco Systems, Inc.",Information Technology,477504809664.75
AMAT,"Applied Materials, Inc.",Information Technology,467618285487.10004
LRCX,Lam Research Corporation,Information Technology,464374158100
CAT,Caterpillar Inc.,Industrials,453377360880
ORCL,Oracle Corporation,Information Technology,439156456200
MA,Mastercard Incorporated,Financials,431250800417.91
ABBV,AbbVie Inc.,Health Care,429578006497.94
COST,Costco Wholesale Corporation,Consumer Staples,424710968720
BAC,Bank of America Corporation,Financials,416534388260.445
GE,GE Aerospace,Industrials,372450426761.38
UNH,UnitedHealth Group Incorporated,Health Care,371658097337
MS,Morgan Stanley,Financials,356466368642
PG,The Procter & Gamble Company,Consumer Staples,354040188615.12
KO,The Coca-Cola Company,Consumer Staples,346780082890.8
HD,"The Home Depot, Inc.",Consumer Discretionary,344005255290
CVX,Chevron Corporation,Energy,342166838000
GS,"The Goldman Sachs Group, Inc.",Financials,319392734419.86005
KLAC,KLA Corporation,Information Technology,319372397200
NFLX,"Netflix, Inc.",Communication Services,306630456000
MRK,"Merck & Co., Inc.",Health Care,295391000034
SNDK,Sandisk Corporation,Information Technology,290789033100
BALFX,American Funds American Balanced F1,Financials,287605260272.42
ABALX,American Funds American Balanced A,Financials,287605260251.39996
DELL,Dell Technologies Inc.,Information Technology,284153268396.54
PM,Philip Morris International Inc.,Consumer Staples,278498880191.74
GEV,GE Vernova Inc.,Utilities,278119825600
TXN,Texas Instruments Incorporated,Information Technology,276995905480
PLTR,Palantir Technologies Inc.,Information Technology,267951369000
WFC,Wells Fargo & Company,Financials,257974017000
