ticker,company,sector,industry,market_cap,roic_5y_avg,roe_5y_avg,gross_margin_5y_avg,operating_margin_5y_avg,fcf_margin_5y_avg,revenue_cagr_5y,eps_cagr_5y,debt_to_equity,interest_coverage,current_ratio,fcf_yield,pe,ev_ebit,shares_change_5y_pct
A,"Agilent Technologies, Inc.",Healthcare,Medical - Diagnostics & Research,41419880000.00001,0.13518982389402062,0.21698055681389522,0.5314232302392261,0.21768981172780982,0.18932352317430506,0.02400685419721804,0.03777927788096913,0.4975522919448153,13.205357142857142,1.9573924158500213,0.0278127314709748,31.88671023965142,29.063475321162954,-0.06907894736842102
AA,Alcoa Corporation,Basic Materials,Aluminum,13865726248.48,0.03409998320379253,0.023040054999634414,0.13542043415276672,0.09511682031562137,0.015190326597383674,0.007827530494941337,0.18390984695697976,0.44900294213795355,4.7974683544303796,1.4388318863456986,0.04089219632921544,11.88814317673378,19.684335420158313,0.40283995698924735
AAL,American Airlines Group Inc.,Industrials,"Airlines, Airports & Air Services",10125342360,0.02384453502115713,-0.030179282980694354,0.1624631183741246,0.025984405466420744,0.00867611936297904,0.16281693181179624,,-9.651193989804131,0.8548951048951049,0.4983259839947738,-0.06715822298378067,90.17647058823529,30.270172024539878,0.02558480780727157
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,2098014240,-0.13056124779464923,-0.34005340435081216,0.22963362192476316,-0.22544980264864284,-0.2993931486455265,0.21146919471702974,,0.2279900479345104,-15.613954818415785,2.6263958364913345,-0.1685288847229178,-54.46875,,1.236314085899
AAON,"AAON, Inc.",Industrials,Construction,6216596925,0.14781001863156024,0.17425684935207006,0.2929720985370428,0.14933770084093795,-0.01390473123281218,0.281612270199747,0.1529665629272552,0.4744727565266457,8.59466320658919,2.627072282419791,-0.030792409787771466,57.765151515151516,43.59221212479242,0.03718379379474612
AAPL,Apple Inc.,Technology,Consumer Electronics,3818743810000,0.4475290057341167,1.639225400754853,0.4446632673722596,0.3067471136415647,0.26242235373023465,0.03275991627577457,0.07385091507318342,1.5241072518411023,50.0,0.8932929222186667,0.02586374077814872,34.1068090787717,29.276112814731302,-0.10494841351006079
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,406801768080,0.11649877894091694,0.37974811702923583,0.6832078081522587,0.2713141970843369,0.36459759145895543,0.02138290840395274,-0.22143090989159508,-21.1217125382263,6.944694089180781,0.6713483794959458,0.0437952865448126,96.40928270042194,23.425452594694143,0.005871186440677967
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,83196360000,0.15774924300621226,0.29493817825689134,0.8234615058430332,0.17540000415417226,0.39391372987909834,0.19553218784023874,,0.25210391511159896,50.0,1.3771704886804894,0.05584378931962889,33.10243902439024,30.93685534591195,-0.004870129870129913
ABT,Abbott Laboratories,Healthcare,Medical - Devices,218881630000,0.10269838062207925,0.18821261368364745,0.5226626248330227,0.1819648530256796,0.16477800096155604,0.007194192037995428,-0.01426158991883364,0.2890274314214464,23.60117302052786,1.5758971871968963,0.033785384365056126,33.5,28.010267147117297,-0.015774647887323967
ACA,"Arcosa, Inc.",Industrials,Industrial - Infrastructure Operations,5199048000,0.05367606234591241,0.06689583606123801,0.1950589711003321,0.09646082804419784,0.052691986707917415,0.0908384847552961,0.31452659815112183,0.5806673021925643,3.125919117647059,2.1971803018268465,0.03375617997756512,25.016470588235293,19.1333372537489,0.016632016632016633
