ticker,company,sector,industry,market_cap,enterprise_value,ebit,net_working_capital,net_fixed_assets,price
A,"Agilent Technologies, Inc.",Healthcare,Medical - Diagnostics & Research,35885809920,37450809920,1479000000,2247000000,2023000000,127.06
AA,,,,15656586284,16662586284,758000000,1668000000,6700000000,59.33
AAL,American Airlines Group Inc.,Industrials,"Airlines, Airports & Air Services",10575546150,39974546150,1467000000,-12287000000,39631000000,15.99
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,12987291839,12938582839,-54602000,418444000,425747000,161.85
AAON,"AAON, Inc.",Industrials,Construction,11198967624,11623600624,152349000,538325000,649250000,136.72
AAPL,Apple Inc.,Technology,Consumer Electronics,4376978961560,4434658961560,133050000000,-17674000000,49834000000,298.01
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,382740328813,446551328813,20091000000,-14227000000,6365000000,216.63
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,84522275906,75575275906,2544000000,5148000000,257000000,142.41
ABT,Abbott Laboratories,Healthcare,Medical - Devices,153941167800,160069167800,8048000000,9500000000,12942000000,88.38
ACA,"Arcosa, Inc.",Industrials,Industrial - Infrastructure Operations,6669254976,7977454976,340100000,602900000,2097800000,135.84
ACGL,,,,35394480000,26580480000,4979000000,1545000000,0,
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,6651495750,21749795750,715400000,-1108300000,16006100000,13.45
ACM,Aecom,Industrials,Engineering & Construction,8843667630,10619832630,1026522000,801411000,879643000,68.81
ACMR,"ACM Research, Inc.",Technology,Semiconductors,7044609392,6179509392,109429000,1690968000,332755000,109.87
ACN,Accenture plc,Technology,Information Technology Services,78571913220,75270105220,10225664000,8548592000,4306695000,127.98
ADBE,Adobe Inc.,Technology,Software - Application,77576101756,77629101756,8706000000,-37000000,2185000000,195.16
ADC,Agree Realty Corporation,Real Estate,REIT - Retail,8797534422,12136156422,340395000,-28443000,0,73.25
ADI,"Analog Devices, Inc.",Technology,Semiconductors,211619835398,216632124398,2932496000,3862260000,3315696000,434.46
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Agricultural Farm Products,36194935178,43557935178,1424000000,8137000000,11179000000,75.1
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,87305964532,88524764532,5411900000,1973900000,1029500000,218.41
ADSK,"Autodesk, Inc.",Technology,Software - Application,40924172549,41061172549,1794000000,-866000000,278000000,193.82
AEE,Ameren Corporation,Utilities,Regulated Electric,30074598111,49891598111,2026000000,-1336000000,39313000000,108.67
AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,14169858513,14057658513,195200000,582700000,370900000,372.59
AEP,"American Electric Power Company, Inc.",Utilities,Regulated Electric,69476767450,119229767450,5299000000,-7262000000,93035000000,127.69
AES,The AES Corporation,Utilities,Independent Power Producers,10426365764,38506365764,1970000000,-1990000000,38187000000,14.62
AFG,"American Financial Group, Inc.",Financial Services,Insurance - Property & Casualty,11042142690,10418142690,1073000000,-12018000000,0,132.9
AFRM,"Affirm Holdings, Inc.",Technology,Software - Infrastructure,24755701703,30383127703,-87273000,9578519000,591760000,73.92
AGCO,AGCO Corporation,Industrials,Agricultural - Machinery,8229950110,10053150110,698700000,1467000000,2163500000,113.66
