ticker,company,sector,industry,market_cap,price_to_book,net_income_t,net_income_t_minus_1,total_assets_t,total_assets_t_minus_1,operating_cash_flow_t,long_term_debt_t,long_term_debt_t_minus_1,current_assets_t,current_liabilities_t,current_assets_t_minus_1,current_liabilities_t_minus_1,shares_outstanding_t,shares_outstanding_t_minus_1,gross_margin_t,gross_margin_t_minus_1,asset_turnover_t,asset_turnover_t_minus_1
A,"Agilent Technologies, Inc.",Healthcare,Medical - Diagnostics & Research,37134159360,5.508701878059635,1303000000,1289000000,12727000000,11846000000,1559000000,3050000000,3345000000,4594000000,2347000000,3959000000,1895000000,283000000,290000000,0.5243235463442717,0.543010752688172,0.5459259841282313,0.5495525915920986
AAL,American Airlines Group Inc.,Industrials,"Airlines, Airports & Air Services",9907547300,-2.7167540541990873,111000000,846000000,61774000000,61783000000,3099000000,25254000000,25154000000,12205000000,24492000000,13154000000,24295000000,660492000,656996000,0.19166071788113412,0.21148844330486433,0.8844012043901965,0.8774420147937135
AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment,8217661768,11.196975367820384,-38228000,-186733000,1168423000,547032000,-174428000,129829000,138810000,675727000,257283000,301268000,170069000,60184000,41538551,0.300435579254578,0.24782948689671766,0.3900257013085158,0.4558508460199769
AAON,,,,6216596925,6.946034765945798,107593000,168559000,1686510000,1175234000,-861000,398320000,138891000,869180000,330855000,488212000,174905000,81529140,81473131,0.26747827437666255,0.3307491452439751,0.8550651938025864,1.0216135680213472
AAPL,Apple Inc.,Technology,Consumer Electronics,4901758191440,66.47984201700731,112010000000,93736000000,359241000000,364980000000,111482000000,78328000000,85750000000,147957000000,165631000000,152987000000,176392000000,14948500000,15343783000,0.4690516410716045,0.4620634981523393,1.1584451663368045,1.0713874732862074
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,449807784298,-124.40421042201835,4226000000,4278000000,133960000000,135161000000,19030000000,59608000000,60340000000,29062000000,43289000000,25582000000,38749000000,1780392000,1769000000,0.7023544800523218,0.6999325451769801,0.4565541952821738,0.4167918260444951
ABCB,Ameris Bancorp,Financial Services,Banks - Regional,6211770952,1.5239765163536658,412154000,358685000,27515879000,26262050000,390183000,167433000,424097000,333807000,535250000,2891637000,21722448000,68448812,68809000,0.6830819664257066,0.6399730050333855,0.06053086655890586,0.062177057769671445
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,86641119561,10.56727888291255,2511000000,2648000000,22208000000,20959000000,4646000000,0,1995000000,18797000000,13649000000,17180000000,10161000000,613000000,632000000,0.8295890858589985,0.8308412898576834,0.5511977665706052,0.5297008445059401
ABT,Abbott Laboratories,Healthcare,Medical - Devices,175348012700,3.363667997314406,6524000000,13402000000,86713000000,81414000000,9566000000,10827000000,12625000000,25996000000,16496000000,23656000000,14157000000,1747000000,1731698000,0.5551118931600794,0.5083432657926102,0.5112036257539239,0.5152676443854866
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,7400551972,4.030362690338743,217400000,958600000,26765900000,29307500000,2366700000,8412600000,7391600000,6715700000,7824000000,6559000000,7251000000,545200000,580100000,0.2512356848718026,0.276842279412222,3.107405317960539,2.7430145867098865
ACM,Aecom,Industrials,Engineering & Construction,8776835670,3.5211794948535333,561774000,402266000,12200249000,12061669000,821602000,2602920000,2450330000,6730227000,5928816000,7176059000,6374081000,132373000,135544000,0.0753867098002667,0.06732738099747056,1.322892836039658,1.3352628064988352
ACT,Enact Holdings Inc.,Financial Services,Insurance - Property & Casualty,6494238520,1.2127019646954977,674244000,688068000,6893466000,6549828000,724519000,744481000,749742000,628623000,91639000,652463000,118565000,148373000,156277000,0.9109821177487967,0.7823287839911076,0.17848524965525325,0.18350588748284688
ADBE,Adobe Inc.,Technology,Software - Application,94306875000,8.11381528004818,7130000000,5560000000,29496000000,30230000000,10031000000,6210000000,4129000000,10163000000,10200000000,11232000000,10521000000,426000000,447100000,0.8860700912953847,0.89035108114392,0.8058380797396257,0.711379424412835
ADC,Agree Realty Corporation,Real Estate,REIT - Retail,9740341865,1.553239541316077,204349000,189197000,9797612000,8486446000,504136000,3294728000,2785421000,143099000,171542000,112815000,144115000,110723375,101099000,0.8773006049571408,0.8787074923634124,0.07332378542853095,0.07271536282679464
ADI,"Analog Devices, Inc.",Technology,Semiconductors,182832991334,5.406739886008755,2267342000,1635273000,47992712000,48228277000,4812202000,8145066000,6634313000,7108061000,3245801000,5484654000,2988280000,494381000,496166000,0.614669518890112,0.5708341337690674,0.22961209193595894,0.19546949603859992
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Agricultural Farm Products,41400066405,1.8211439935336295,1078000000,1800000000,34659000000,53271000000,5452000000,7612000000,7580000000,8935000000,798000000,27718000000,19938000000,484000000,478000000,0.06270166564925438,0.06755524377411434,2.315964107446839,1.6055640029284226
ADSK,"Autodesk, Inc.",Technology,Software - Application,46103565556,15.140744024958948,1124000000,1112000000,12467000000,10833000000,2452000000,2483000000,1987000000,4942000000,5808000000,3482000000,5151000000,213000000,215000000,0.9097973910630031,0.9057250040776382,0.5780059356701692,0.5659558755654021
AEE,Ameren Corporation,Utilities,Regulated Electric,27012130000,2.015680173121409,1456000000,1182000000,48476000000,44598000000,3353000000,18214000000,17262000000,2571000000,3907000000,2264000000,3413000000,270500000,266800000,0.29582907148539606,0.47920766102584283,0.18151250103143823,0.17092694739674424
AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,10802620335,7.926783339448195,148400000,54214000,2545800000,2261894000,233300000,0,564695000,1573900000,991200000,1389323000,314222000,37600000,37476000,0.3724705359128308,0.35717138920489433,0.7065755361772331,0.6552216858968635
AEP,"American Electric Power Company, Inc.",Utilities,Regulated Electric,71898034700,2.3090126115999743,3580000000,2967100000,117246000000,103078000000,6944000000,44706000000,39307800000,6052000000,13314000000,5788800000,13009300000,518904000,530093000,0.31813799752100264,0.3191825873019858,0.18578885420398136,0.19321775742641495
AES,The AES Corporation,Utilities,Independent Power Producers,10536904938,1.5299702247713083,949000000,1686000000,51768000000,47406000000,4306000000,26072000000,25431000000,6502000000,8492000000,6831000000,8571000000,712000000,705462185,0.1807406196354124,0.1886300700439811,0.23630428063668676,0.25899675146605916
AFG,"American Financial Group, Inc.",Financial Services,Insurance - Property & Casualty,11794071641,2.4469028300829874,842000000,887000000,32642000000,25006000000,1533000000,1820000000,1667000000,11914000000,23932000000,2938000000,2611000000,83800000,83900000,0.17615176151761516,0.17794153177095917,0.24869799644629617,0.3310405502679357
AFL,Aflac Incorporated,Financial Services,Insurance - Life,63485700759,2.152787411291963,3646000000,5443000000,116470000000,117566000000,2555000000,8330000000,7402000000,71951000000,5807000000,0,0,530050000,557899000,0.3892648239477004,0.3562839815976579,0.1497209581866575,0.16270010036915436
AFRM,"Affirm Holdings, Inc.",Technology,Software - Infrastructure,25475733003,8.300963927769518,52186000,-517757000,11154929000,9519619000,793909000,7821363000,6574855000,9758617000,180098000,8209507000,124959000,322851873,309857129,0.6751122375180343,0.6362004460613199,0.2890571513274535,0.24402226601715887
AGCO,AGCO Corporation,Industrials,Agricultural - Machinery,8350872305,1.9541060734760736,726500000,-424800000,11927800000,11190600000,988100000,2445200000,2233300000,5196100000,3729100000,5138000000,3826000000,74400000,74600000,0.24754017060107122,0.24393966677814077,0.8452522678113316,1.0421157042517828
AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,12879766432,1.0392775302186719,1670000000,863000000,115077000000,88015000000,653000000,56000000,64000000,0,102622000000,0,0,1020000000,927956989,1.0,1.0,0.01661496215577396,0.05539964778730898
AGX,"Argan, Inc.",Industrials,Engineering & Construction,7728250101,16.718333111958152,137774000,85459000,1186354000,836227000,414718000,0,0,1132257000,706495000,781300000,479857000,13895000,13448000,0.20503575035517455,0.16128161394863066,0.7962260842885007,1.045384805800339
AHR,"American Healthcare REIT, Inc.",Real Estate,REIT - Healthcare Facilities,11818313512,3.559049047803464,69806000,-37812000,5426226000,4488057000,294441000,1000827000,1016941000,319149000,867503000,354895000,946858000,166055000,130637539,0.017561433603392382,0.2012756269957328,0.41651840524150674,0.4613729281958763
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,42681600791,1.0374972845961252,3096000000,-1404000000,161254000000,161322000000,3314000000,9191000000,8922000000,87607000000,102655000000,128892000000,101038000000,565100000,606159452,0.3451482781803242,0.3402273560689402,0.16603619135029207,0.16904080038680402
AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial - Distribution,12436515951,6.74241317578557,392988000,385762000,3175544000,2951910000,492385000,572300000,572279000,1747473000,526151000,1769901000,501100000,38289000,38672000,0.3030967536656686,0.2983996092339029,1.4370526750692165,1.5174602206706844
AIZ,"Assurant, Inc.",Financial Services,Insurance - Specialty,13715281398,2.3358678040057224,872700000,760200000,36289600000,35020600000,1833900000,2206900000,2083100000,13148100000,23889600000,19028400000,23962900000,50469633,52231729,0.7715208790179721,0.767080614607451,0.35311218641153386,0.33915752442847924
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance - Brokers,65235004380,2.797264456069637,1493900000,1462700000,70665000000,64255200000,1930000000,12619000000,12731900000,34356000000,32519000000,44113300000,29260800000,260344827,220500000,0.5475117990503379,0.422184527776095,0.1972942758083917,0.1798282473636375
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,17473877356,3.5106640344872826,452031000,504918000,11479643000,10368785000,1518765000,5338775000,2396695000,2216697000,967518000,2578097000,2091323000,145402000,151392000,0.5471937360019485,0.5939050924441166,0.36657716620630104,0.384921473441681
ALAB,"Astera Labs, Inc. Common Stock",Technology,Semiconductors,52042878439,38.164843674329035,219134000,-83421000,1531823000,1054508000,319306000,0,0,1362030000,133042000,1012979000,86542000,166408000,131262000,0.756882202867951,0.7638320421913245,0.5565427598358296,0.375805588957125
ALB,Albemarle Corporation,Basic Materials,Chemicals - Specialty,14240609108,1.4937652243462827,-510628000,-1179449000,16374211000,16609649000,1282267000,3119464000,3118142000,4008139000,1798044000,3842262000,1966464000,117701000,117516000,0.13059573576928843,0.011201991213059686,0.3140751636826959,0.3237591595102341
ALGM,"Allegro MicroSystems, Inc.",Technology,Semiconductors,8659642320,9.053988802283456,-14897000,-73010000,1416175000,1420961000,163069000,285746000,344703000,503606000,145925000,483036000,112261000,185309271,187707000,0.46359606154841726,0.44348184704678306,0.6285211926492136,0.5102223072976668
ALGN,"Align Technology, Inc.",Healthcare,Medical - Devices,12659220129,3.1263918373425317,410351000,421362000,6233693000,6214600000,593223000,0,0,2616562000,1920015000,2492441000,2038027000,72542000,74877000,0.6832519447509321,0.6999626407722708,0.6472830792276745,0.6434866282624787
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,64334656320,2.101752901666122,10282000000,4667000000,119758000000,111617000000,10110000000,6940000000,8085000000,26248000000,70936000000,24779000000,0,261300000,264300000,0.33232019259705087,0.22829252932378177,0.5549524875164916,0.5690441420213767
ALLY,Ally Financial Inc.,Financial Services,Financial - Credit Services,13989712363,0.9026785625887211,852000000,668000000,196002000000,191836000000,3628000000,17070000000,17495000000,147387000000,163434000000,30543000000,154594000000,310792000,306913000,0.5198288629257858,0.4112041053210337,0.06200957133090479,0.08532809274588711
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,35710607900,45.25049912820461,313747000,-278157000,4966331000,4239983000,524080000,1007784000,2358974000,4050662000,1466349000,3295285000,1186272000,131004000,127651000,0.8176689588434053,0.856167682941746,0.7478230911310583,0.5302481165608447
ALSN,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto - Parts,9420698082,5.0459014900910555,623000000,731000000,6082000000,5336000000,824000000,2898000000,2395000000,2233000000,460000000,1538000000,506000000,84000000,87000000,0.48372093023255813,0.4741085271317829,0.49490299243669844,0.6043853073463268
AM,Antero Midstream Corporation,Energy,Oil & Gas Midstream,10729798200,5.440961014502234,413163000,400892000,5884116000,5882961000,932464000,3222530000,3116958000,379864000,111482000,118064000,100612000,477906000,480822000,0.653011918055624,0.635771307669104,0.21398252515755978,0.20004637120660837
AMAT,"Applied Materials, Inc.",Technology,Semiconductors,420528323940,20.598987212343864,6998000000,7177000000,36299000000,34409000000,7958000000,6455000000,5460000000,20881000000,7999000000,21220000000,8468000000,804000000,827000000,0.4867456288776086,0.47457315278186635,0.7815091324829885,0.7897933680141823
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,808386256000,12.831731551294466,4335000000,1641000000,76926000000,69226000000,7709000000,2973000000,1721000000,26947000000,9455000000,19049000000,7281000000,1624000000,1620000000,0.4951644100580271,0.49350397517936784,0.4502898889842186,0.3724756594343166
AMG,"Affiliated Managers Group, Inc.",Financial Services,Asset Management,9764553692,3.015240146986166,716600000,511600000,9207400000,8830900000,1010900000,2691300000,2620200000,1082200000,806900000,1416300000,639100000,28500000,31100000,0.8604080631312099,0.5515213876231074,0.26562330299541675,0.23110894699294524
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,197689643320,22.833176636636637,7711000000,4090000000,90586000000,91839000000,9958000000,50005000000,56549000000,29057000000,25489000000,29030000000,23099000000,538000000,541000000,0.7079829073786778,0.6153063666826233,0.40559247565849027,0.3639412450048454
AMH,American Homes 4 Rent,Real Estate,REIT - Residential,12233671293,1.7392820005777858,452974000,412426000,13242120000,13381151000,864327000,5108578000,5010762000,273809000,4353000,399183000,400779000,370556400,367454000,0.033659866818064176,0.5560841489283547,0.1409267549304794,0.12918896139801428
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors,15601096283,3.4893147876610398,373895000,354012000,8136309000,6944328000,1095606000,1331365000,981414000,3884761000,1711972000,3073472000,1455275000,247158000,246480000,0.13992272786699902,0.14771407026490055,0.8244501284304714,0.9097629029043559
