rank,ticker,company,sector,screens_eligible,top10_count,avg_percentile,screens
1,CMCSA,Comcast Corporation,Communication Services,8,3,80.93298121702898,"composite_value, fcf_yield, gross_profitability"
2,ADBE,Adobe Inc.,Technology,9,2,87.24649210141496,"buffett_quality, magic_formula"
3,SM,SM Energy Company,Energy,7,2,82.4193165568552,"garp_peg, residual_income"
4,FISV,"Fiserv, Inc.",Technology,6,2,82.3674032300746,"composite_value, magic_formula"
5,NVR,"NVR, Inc.",Consumer Cyclical,9,2,78.45619789974957,"low_leverage_quality, residual_income"
6,CTSH,Cognizant Technology Solutions Corporation,Technology,9,2,76.60831849807815,"composite_value, gross_profitability"
7,IDCC,"InterDigital, Inc.",Technology,10,2,76.10571255173403,"buffett_quality, garp_peg"
8,LKQ,LKQ Corporation,Consumer Cyclical,7,2,76.05662094802649,"composite_value, gross_profitability"
9,SYF,Synchrony Financial,Financial Services,7,2,73.13351440621983,"composite_value, fcf_yield"
10,PRI,"Primerica, Inc.",Financial Services,8,2,72.50045082597408,"buffett_quality, residual_income"
11,NVDA,NVIDIA Corporation,Technology,10,2,48.52738905730452,"buffett_quality, low_leverage_quality"
12,TPL,Texas Pacific Land Corporation,Energy,10,2,43.74020747442348,"buffett_quality, low_leverage_quality"
13,CHTR,"Charter Communications, Inc.",Communication Services,7,1,88.50261447952296,composite_value
14,APA,APA Corporation,Energy,9,1,87.78018193595037,residual_income
15,CACC,Credit Acceptance Corporation,Financial Services,6,1,83.52711004100077,residual_income
16,IT,"Gartner, Inc.",Technology,7,1,82.7673047032827,magic_formula
17,PPC,Pilgrim's Pride Corporation,Consumer Defensive,8,1,82.16471268461108,garp_peg
18,EOG,"EOG Resources, Inc.",Energy,9,1,81.85236317084104,residual_income
19,DDS,"Dillard's, Inc.",Consumer Cyclical,9,1,80.31493802202077,low_leverage_quality
20,MTG,MGIC Investment Corporation,Financial Services,8,1,80.12529795244029,composite_value
21,EXE,Expand Energy Corporation,Energy,9,1,77.95477249330845,piotroski
22,BLDR,"Builders FirstSource, Inc.",Basic Materials,7,1,76.5157160367638,gross_profitability
23,HIG,"The Hartford Insurance Group, Inc.",Financial Services,10,1,76.0010004787625,piotroski
24,M,"Macy's, Inc.",Consumer Cyclical,7,1,75.87190966160787,gross_profitability
25,KNSL,"Kinsale Capital Group, Inc.",Financial Services,8,1,74.56951838379683,buffett_quality
26,MLI,"Mueller Industries, Inc.",Industrials,10,1,72.26324759172027,low_leverage_quality
27,NWS,News Corporation,Communication Services,8,1,71.85741810471687,piotroski
28,INGR,Ingredion Incorporated,Consumer Defensive,10,1,71.68773226657774,garp_peg
29,UTHR,United Therapeutics Corporation,Healthcare,10,1,70.2775435228532,buffett_quality
30,ADM,Archer-Daniels-Midland Company,Consumer Defensive,6,1,69.98648450822873,asset_growth
31,NEM,Newmont Corporation,Basic Materials,7,1,69.61658420389993,piotroski
32,DAL,,,8,1,69.60336919328952,garp_peg
33,TMHC,Taylor Morrison Home Corporation,Consumer Cyclical,10,1,68.5966188951048,composite_value
34,OMF,"OneMain Holdings, Inc.",Financial Services,6,1,68.52129789727856,fcf_yield
35,BYD,Boyd Gaming Corporation,Consumer Cyclical,9,1,68.42572253503106,garp_peg
36,UHS,"Universal Health Services, Inc.",Healthcare,9,1,68.37627038189423,gross_profitability
37,KEY,KeyCorp,Financial Services,6,1,67.68367903639388,piotroski
38,TFC,Truist Financial Corporation,Financial Services,6,1,66.00033104458522,piotroski
39,ACT,Enact Holdings Inc.,Financial Services,9,1,65.84968126143598,composite_value
40,ELV,Elevance Health Inc.,Healthcare,6,1,65.5146478007858,gross_profitability
41,CPRT,"Copart, Inc.",Industrials,10,1,65.01960108125334,buffett_quality
42,FAF,First American Financial Corporation,Financial Services,6,1,63.99577867860456,gross_profitability
43,DLTR,"Dollar Tree, Inc.",Consumer Defensive,7,1,63.47401153134722,asset_growth
44,SOLV,Solventum Corporation,Healthcare,7,1,62.45667655772133,magic_formula
45,FNB,F.N.B. Corporation,Financial Services,6,1,61.83553186350087,piotroski
46,JLL,,,8,1,60.40871681084106,gross_profitability
47,META,"Meta Platforms, Inc.",Communication Services,10,1,59.49460501279456,buffett_quality
48,EXPD,"Expeditors International of Washington, Inc.",Industrials,9,1,56.80406736293919,low_leverage_quality
49,LEN,Lennar Corporation,Consumer Cyclical,9,1,55.94319144350797,asset_growth
50,NWSA,News Corporation,Communication Services,8,1,55.83904625282004,gross_profitability
51,MSA,MSA Safety Incorporated,Industrials,9,1,53.984096576919505,garp_peg
52,APP,AppLovin Corporation,Technology,9,1,53.80793321728965,garp_peg
53,MOS,The Mosaic Company,Basic Materials,7,1,50.25630207531001,piotroski
54,AROC,"Archrock, Inc.",Energy,8,1,49.86832281889876,garp_peg
55,SNEX,StoneX Group Inc.,Financial Services,7,1,49.86533034471943,fcf_yield
56,MSFT,Microsoft Corporation,Technology,9,1,49.33964722845334,buffett_quality
57,TPR,"Tapestry, Inc.",Consumer Cyclical,7,1,44.22121408544256,asset_growth
58,AMAT,"Applied Materials, Inc.",Technology,9,1,43.502477920124264,low_leverage_quality
59,CPAY,"Corpay, Inc.",Technology,8,1,42.60060199152759,magic_formula
60,BAM,Brookfield Asset Management Ltd.,Financial Services,8,1,41.02638641484406,low_leverage_quality
61,UI,Ubiquiti Inc.,Technology,9,1,40.948411242649044,low_leverage_quality
62,LUV,Southwest Airlines Co.,Industrials,6,1,39.13262301581542,asset_growth
63,LRCX,Lam Research Corporation,Technology,10,1,38.38018861846452,low_leverage_quality
64,POWL,"Powell Industries, Inc.",Industrials,10,1,33.59114523624645,garp_peg
65,WDC,Western Digital Corporation,Technology,6,1,29.0597899244101,asset_growth
66,THC,Tenet Healthcare Corporation,Healthcare,8,0,83.69504317025348,
67,QCOM,QUALCOMM Incorporated,Technology,8,0,82.20477227932707,
68,BBY,"Best Buy Co., Inc.",Consumer Cyclical,7,0,81.77803681073276,
69,BMY,Bristol-Myers Squibb Company,Healthcare,7,0,80.39593703363633,
70,CF,"CF Industries Holdings, Inc.",Basic Materials,9,0,79.8605277621839,
71,DVN,Devon Energy Corporation,Energy,8,0,79.4897941325381,
72,NOV,NOV Inc.,Energy,6,0,79.47294265361917,
73,QRVO,"Qorvo, Inc.",Technology,7,0,78.3627872345983,
74,AOS,A. O. Smith Corporation,Industrials,8,0,77.77399652066708,
75,CRUS,"Cirrus Logic, Inc.",Technology,9,0,77.57573381407086,
