ticker,company,sector,industry,market_cap,roic_5y_avg,debt_to_equity,interest_coverage,current_ratio
UI,Ubiquiti Inc.,Technology,Communication Equipment,33023271346.0,0.6498480244310857,0.4450603058689731,27.30442732140525,1.6504378530079975
BAM,Brookfield Asset Management Ltd.,Financial Services,Asset Management,77172690167.0,0.5852853204773943,0.4106822099150147,26.382608695652173,4.20389134541793
NVDA,NVIDIA Corporation,Technology,Semiconductors,4912261010000.0,0.4515958204924558,0.0725524975682325,503.4247104247104,3.905263812455306
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,28660932348.0,0.3860554851033934,0.0221741344719025,50.0,4.398104787615007
LRCX,Lam Research Corporation,Technology,Semiconductors,391803581000.0,0.3210639026488886,0.4823300312048154,33.113741070576815,2.210118102893768
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,23900772363.0,0.3016787198554381,0.2422232155857894,50.0,1.8118532019623632
DDS,"Dillard's, Inc.",Consumer Cyclical,Department Stores,8603901357.0,0.291721715661749,0.3134345137717819,50.0,2.645604700144108
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,17500859682.0,0.2914197290173752,0.3096161862148497,57.965389283856425,3.953694120753688
AMAT,"Applied Materials, Inc.",Technology,Semiconductors,420528323940.0,0.2831843134561679,0.3453343130051433,30.81412639405205,2.6104513064133017
MLI,"Mueller Industries, Inc.",Industrials,Manufacturing - Metal Fabrication,13078065000.0,0.2779775381030018,0.0186221456030532,8289.37037037037,5.919979958076556
