ticker,company,sector,industry,market_cap,enterprise_value,ebit,invested_capital,earnings_yield,return_on_capital,earnings_yield_rank,return_on_capital_rank,magic_formula_rank_sum,magic_formula_score
BIPI,BIP Bermuda Holdings I Limited,Industrials,Specialty Business Services,13021467634.0,12984467634.0,3978000000,41000000,0.3063660453497188,97.02439024390245,2.0,1.0,3.0,100.0
ADBE,Adobe Inc.,Technology,Software - Application,77576101756.0,77629101756.0,8706000000,2148000000,0.11214866336292637,4.053072625698324,28.0,12.0,40.0,96.79098005203817
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,20335192085.0,26234992085.0,2586100000,317300000,0.09857445321962253,8.150330917113141,39.0,8.0,47.0,96.18386816999133
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,17835619020.0,32768419020.0,3304800000,1450100000,0.1008532025296349,2.279015240328253,36.0,18.0,54.0,95.57675628794449
IT,"Gartner, Inc.",Industrials,Consulting Services,8535697604.0,10431326604.0,1025672000,422425000,0.09832613232593977,2.428057051547612,40.0,17.0,57.0,95.316565481353
FISV,"Fiserv, Inc.",Technology,Information Technology Services,25521536440.0,53846536440.0,5698000000,3848000000,0.10581924812098462,1.4807692307692308,33.0,35.0,68.0,94.36253252385083
CROX,"Crocs, Inc.",Consumer Cyclical,Apparel - Footwear & Accessories,6213690482.0,7697185482.0,887630000,762614000,0.11531877490489711,1.1639309008226966,24.0,51.0,75.0,93.755420641804
SOLV,Solventum Corporation,Healthcare,Medical - Care Facilities,13062568526.0,17219568526.0,2181000000,2049000000,0.12665822588451542,1.0644216691068813,18.0,58.0,76.0,93.66869037294016
CPAY,"Corpay, Inc.",Technology,Software - Infrastructure,22568163392.0,23692435392.0,1951847000,227314000,0.08238270856102288,8.586567479345751,72.0,5.0,77.0,93.58196010407632
ACN,Accenture plc,Technology,Information Technology Services,78571913220.0,75270105220.0,10225664000,12855287000,0.13585292554211736,0.7954442401791574,12.0,82.0,94.0,92.10754553339116
