ticker,company,sector,industry,market_cap,price_to_book,piotroski_f_score,roa_t,ocf_to_assets,debt_to_assets_t,current_ratio_t,gross_margin_t,asset_turnover_t,f_positive_roa,f_positive_ocf,f_roa_improved,f_ocf_gt_net_income,f_lower_leverage,f_higher_current_ratio,f_no_dilution,f_higher_gross_margin,f_higher_asset_turnover
RF,Regions Financial Corporation,Financial Services,Banks - Regional,23712500000.0,1.2452082129916504,9,0.013608748481166465,0.013766549368007449,0.025909885743295332,0.2998908081711885,0.7463572023313905,0.060218234693174,1,1,1,1,1,1,1,1,1
HIG,"The Hartford Financial Services Group, Inc.",Financial Services,Insurance - Property & Casualty,38914720000.0,2.050409399863007,9,0.04596378973603173,0.07095869729321687,0.05082735444259683,17.65032679738562,0.4607544766083941,0.3285928578903915,1,1,1,1,1,1,1,1,1
NWS,News Corporation,Communication Services,Entertainment,19477787000.0,2.2199438112605425,9,0.028830620106872127,0.07046104138188145,0.11571207430340558,1.8447085889570551,0.5618788452437293,0.5451496388028896,1,1,1,1,1,1,1,1,1
KLAC,KLA Corporation,Technology,Semiconductors,11915497100.0,2.5392895997040354,9,0.2578698812107058,0.2591561694919085,0.3662113579562166,2.618532990519593,0.6231537552724289,0.7565482937872628,1,1,1,1,1,1,1,1,1
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,7643757000.0,0.6325047786907628,8,0.022812372769443992,0.034798677751502506,0.16776892251257144,1.3150296273978106,0.1507500580797185,0.4923345901364782,1,1,1,1,0,1,1,1,1
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,Utilities,Regulated Electric,6910275000.0,0.7557168635170604,8,0.02785471852689892,0.05812819412476105,0.4408982866197881,0.9785794813979707,0.2623257992739196,0.2114241854016044,1,1,1,1,0,1,1,1,1
FNB,F.N.B. Corporation,Financial Services,Banks - Regional,6141003471.000001,0.9085668695073236,8,0.011438828980112085,0.009751755113601877,0.03784666228672679,1.0074063174416323,0.6230800287364853,0.0536509187919329,1,1,1,0,1,1,1,1,1
TFC,Truist Financial Corporation,Financial Services,Banks - Regional,62365850610.0,0.9566928563101136,8,0.009839494064228332,0.01064044779246399,0.07663942959210138,0.8659106989821057,0.6221499441487615,0.0555906622006143,1,1,1,1,0,1,1,1,1
RNR,RenaissanceRe Holdings Ltd.,Financial Services,Insurance - Reinsurance,12616748535.6,1.0868396349035037,8,0.051332635587305615,0.0706761036529856,0.04329338504795226,5.026755167910323,0.4065625740757271,0.236964416057207,1,1,1,1,0,1,1,1,1
KEY,KeyCorp,Financial Services,Banks - Regional,22604329440.0,1.1090883391393944,8,0.009845269399190955,0.011885377164250206,0.053785368340555695,0.7703770046014161,0.6227207722559885,0.0606787033371117,1,1,1,1,1,1,0,1,1
